employeeId;DH020001;DH020022;DH020024;DH020021;DH020008;DH020023;DH020019;DH020018;DH020004;DH020009;DH000003;DH020089;DH020025;DH020026;Sum;
DH00067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00067;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00068;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00072;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00073;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00075;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00076;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00079;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00080;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00083;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00085;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00086;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00087;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00088;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00089;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00091;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00094;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00096;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00097;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00103;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00106;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00107;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00109;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00111;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00113;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00114;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
DH00120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"DH00120;0;0;0;0;0;0;0;0;0;0;0;0;0;0";
